Anyone can do that.	任何人都可以做到。
Young children are often fascinated by science.	小孩常常对科学很有热情。
I am not a teacher.	我不是个老师。
The man sitting next to me spoke to me.	坐在我旁边的男人跟我说话了。
The wind is blowing from the north.	风从北边来。
California and Nevada border on each other.	加利福尼亚州和内华达州相互接界。
The toilet doesn't flush properly.	厕所冲水不正常。
Lincoln set the slaves free.	林肯释放了奴隶。
I arrived at the station on time.	我准时到达了车站。
This is the last time I'll ask you to do anything for me.	这是我最后一次让你为我做点事了。
He sat next to the stream.	他坐在溪流旁边。
She came to Japan for the purpose of studying Japanese.	她为了学习日文来到日本。
There will be a concert next Sunday.	下周日将有一场音乐会。
Let's leave.	走吧。
After reading his books I feel I can construct a house.	读完他的书后，我觉得我可以构建一栋房子。
He lives just around the corner.	他就住在附近。
Tom doesn't know what he should do.	汤姆不知所措。
She got over the shock of her father's death.	她从她父亲过世的震惊中恢复了。
Take your time. There's no hurry.	慢慢来，没那么急。
That was the first time that a man walked on the moon.	那是人类第一次在月球上行走。
Try to make the most of your time.	尽量试着用好你的时间。
It began to snow.	开始下雪了。
May I come and see you tomorrow?	我明天可以来看你吗？
Playing tennis is a lot of fun.	打网球很有趣。
She will make him a good wife.	她会是他的好妻子。
I've never been to my uncle's house.	我没去过我叔叔的房子。
I bought a camera for 30 dollars.	我花30美元买了一台照相机。
I can't afford a car.	我买不起车子。
Some people questioned his honesty.	有些人质疑他的诚实。
Our school is in the center of the town.	我们学校在市中心。
Please drive carefully.	请小心驾驶。
I understand that you feel uneasy, but don't worry.	我知道你不自在，但别急。
She has a habit of biting her nails.	她有咬指甲的习惯。
If I were to die, what would my family do?	我死了，我家人怎么办。
They made him do the work again.	他们要他再做一次这个工作。
Tell me the truth.	告诉我真相。
I could make myself understood in English.	我能用英文表达我的意思。
There are a lot of new buildings here now.	这里现在有了许多新建筑。
I wish I were taller.	我希望我比较高。
Can I borrow some money from you?	我可以向你借一些钱？
What has happened to him?	他发生了什么事？
Maybe some other time.	也许下一次吧。
Have you finished your homework?	你做完作业了吗？
His speech lasted three hours.	他的演讲持续了三个小时。
I trust you.	我信任你。
I demand an explanation for this mistake.	我要求说明这个错误。
Money does not grow on trees.	钱不会从树上长出来。
We had a good conversation.	我们谈得不错。
There is little chance of his winning.	他赢的机会极小。
All of you did good work.	你们所有的人都做得很好。
How long is this visa good for?	这个签证的有效期限是多久?
Hang up your coat, please.	请把你的外套挂起来。
He fell asleep with the radio on.	他睡着了但收音机还开着。
He ran.	他跑了。
If you're wrong, then I'm wrong, too.	如果你错了，那么我也错了。
They work really hard.	他们工作的很辛苦。
Many boys and girls were present.	许多男生和女生都出席了。
Turn up the TV.	把电视声音调大点儿。
Do you know what color she likes?	你知道她喜欢什么颜色吗？
I won't be here tomorrow.	我明天不在这儿。
Tom will never do it again.	汤姆再也不做了。
She carried the box under her arm.	她把箱子挟在手臂下。
I walked as far as the station.	我们走到跟火车站那样远的地方。
Please say it once more.	请再说一次。
She wore a long, loose coat.	她穿了一件宽松的长外套。
Were you serious about that?	你对那是认真的吗？
He wants to get a new dictionary.	他想得到一本新的字典。
I helped my mother wash the dishes.	我帮妈妈洗碗了。
Welcome to Japan.	欢迎到日本。
Thanks for your reply.	谢谢你的答复。
A couple of flights were delayed on account of the earthquake.	一些航班由于地震被延误了。
He has gone to Italy to study music.	他已经去意大利学习音乐了。
The soldiers are ready for battle.	士兵们准备好要战斗了。
What are you doing here?	你在这里做什么？
He's a DJ.	他是一个 DJ 。
I don't want to quit this job.	我不想辞去这份工作。
I don't eat bread.	我不吃面包。
English is just one of over 2,700 languages in the world today.	今天，英语只是世界上超过2,700种语言的其中之一。
I can make that happen.	我不能让那事发生。
He's in charge of the department.	他负责这个部门。
I went on reading.	我继续阅读。
Are you still at home?	你还在家里吗？
The meeting lasted until 5.	会议一直持续到5点钟。
Hokkaido is to the north of Honshu.	北海道在日本本州岛的北部。
Sir, that CD is available only by special order.	先生，那盘CD需要预定才有。
He is responsible for the accident.	他为这个事故负责。
Behave yourself.	规矩点。
He might not be happy.	他可能会不高兴。
He is good at riding a horse.	他擅长骑马。
Those flowers have died.	那些花已经枯死了。
My brother wants to study abroad.	我哥哥要出国念书。
Stop swearing, please.	请别再发誓了。
I could not convince him of his mistake.	我没能让他相信他的错误。
We're having a party this evening.	我们今天晚上将举行派对。
He's three inches taller than I am.	他比我高三英寸。
He is anxious to see you.	他急于要见你。
Don't put it on my desk.	不要把它放在我的桌子上。
What color is your hair?	您的头发是什么颜色的？
Take your hat off when you enter a house of worship.	当你进入礼拜堂时，把你的帽子脱下来。
He isn't home.	他不在家。
Your cake is delicious.	您的蛋糕很美味。
God bless America.	上帝保佑美国。
She helped her father with the work in the garden.	她帮她爸爸干了花园里的活。
He has not been to France.	他从没去过法国。
I can swim.	我会游泳。
I take a bath every night.	我每晚洗澡。
Smoking is not permitted on the train.	不允许在火车上吸烟。
Tom helped Mary buy everything she needed.	汤姆帮玛丽买了她所有需要买的东西。
I don't like early morning meetings.	我不喜欢在清晨开的会议。
I'm never at home on Sundays.	我周日从不在家。
One is new, and the other is old.	一个是新的，另一个是旧的。
I don't mind if I get wet.	我不介意被弄湿。
Something is happening in Boston.	在波士顿正发生着什么事。
She gave birth to her first child at twenty years old.	她在二十岁的时候生下第一个孩子。
His death was a great loss to our firm.	他的死对我们公司是一个巨大的损失。
I arrived at Narita Airport this morning.	我今天早上抵达了成田机场。
I love my grandmother very much.	我非常爱我的祖母。
You should know better than to ask a lady her age.	你应该知道不要问小姐的年龄。
Who are you?	你是谁？
The ceremony began with his speech.	仪式以他的讲话开始。
She spends a lot of time practicing the piano.	她花很多时间练钢琴。
I don't like living in the country.	我不喜欢住在乡下。
Where's the nearest subway station?	最近的地铁站在哪里？
Can you save Tom?	你能救汤姆吗？
That white dress looks good on you.	你穿那件白色的衣服很好看。
I'm not married to Tom.	我没跟汤姆结婚。
The boy got his hands dirty.	这个男孩把他的手弄脏了。
He is a promising student.	他是一位有前途的学生。
I'm tired of watching television.	我厌倦了看电视。
Tom was wearing an old pair of shoes.	汤姆穿着一双旧鞋。
This story is true.	这个故事是真的。
It's not good for anybody.	这对任何人都不好。
It is rude to stare at someone.	盯着别人看是不礼貌的。
Life is not all fun and games.	生活并不都是轻松愉快的。
I'm sorry I was so rude.	对不起，我太无理了。
The more books you read, the more you'll know.	你看的书越多，你知道的越多。
I advise you to give up drinking.	我劝你戒酒。
I ordered a book from London.	我从伦敦订购了一本书。
Let me tell you the reasons that I don't agree with you.	让我来告诉你我不赞成你的理由。
He lived in Matsue for seven years.	他住在松江七年了。
I am in favor of your proposal.	我赞成你的建议。
You have beautiful eyes.	你的眼睛真漂亮。
You have many books.	您有很多书。
Tom tried to control his emotions.	汤姆试着控制他的情绪。
Tom is an electrical engineer.	汤姆是一个电子工程师。
It would be ridiculous to spend all their money.	花光他们所有的钱会很荒谬。
There was a heavy rain last night.	昨晚下大雨。
Remember to cross your t's.	记得在字母 t 上画上横。
Tom has a twin brother.	Tom有个双胞胎兄弟。
He read the letter over and over.	他把信读了一遍又一遍。
Do you really think that Tom won't come?	你真的认为汤姆不会去吗？
I'm not afraid of death.	我不怕死。
I feel very sick.	我觉得我病得很厉害。
The two teams fought very hard.	两队打了场硬仗。
Is it yours?	这是你的吗？
I think it was wrong.	我认为它错了。
I've missed so much.	我错过了太多。
He advised her to stop drinking.	他建议她戒酒。
We're out of tissue paper, so I've got to go buy some.	卫生纸用完了，我必须去买。
Everything matters.	任何事情都是重要。
Tom wants to tell you something.	汤姆想告诉你一些事情。
I'm looking for a small suitcase.	我正在找一个小手提箱。
She used to visit me regularly.	她以前定期来看我。
You're no singer.	你不是歌手。
Come here, all of you.	你们全都过来。
Tom has three older sisters.	汤姆有三个姐姐。
Never give up.	决不放弃。
I owe a lot of money.	我欠了很多钱。
You're a person.	你是人。
What's in this bag?	这个袋子里是什么？
I have to go shopping. I'll be back in an hour.	我该去买东西了，我一小时后回来。
To my astonishment, my money was gone.	令我惊讶的是，我的钱没了。
It's been snowing all night.	雪下了一整夜。
These pants fit me well.	这些裤子我穿起来很合身。
As for me, I have no objection.	对于我，我不反对。
I have two dogs. One is white and the other black.	我有两条狗。一条是白色的，另一条是黑色的。
We make milk into cheese and butter.	我们把牛奶制成奶酪和奶油。
I go to bed late at night.	我晚上很晚就寝。
He gave his children a good education.	他给了他的孩子们良好的教育。
Was the baby crying then?	那时婴儿正在哭吗？
I was planning on going to the beach today, but then it started to rain.	我本来预备今天去海滩的，但接着天就开始下雨了。
I have never read such a scary novel.	我从没读过那么恐怖的小说。
They were forced to kill and eat several of their horses.	他们被迫杀掉他们的几匹马来吃。
In doing anything, you must do your best.	做任何事，你必须要做到最好。
She goes to night school.	她上夜校。
It is rude to stare at strangers.	盯着陌生人看是不礼貌的。
You need to know.	你有必要了解。
Did you enjoy your winter holidays?	你寒假过得愉快吗？
I can understand him perfectly.	我十分能理解他。
I can't put up with this smell.	我不能忍受这种气味。
Tom didn't accept Mary's apology.	汤姆不接受玛丽的道歉。
He struck a match.	他划了一根火柴。
I'll go with you as far as the bridge.	我会跟着你走到桥那里。
He is not qualified for the job.	他不胜任这份工作。
Tom made a choice.	汤姆做出了选择。
Let's go!	走吧。
It is too hot to stay here.	太热了不能待在这里。
I started learning Chinese last week.	我上周开始学中文了。
Nothing is worse than war.	没有什么比战争更糟的了。
I'm sure that she will come back soon.	我肯定她很快就会回来的。
Were you out last night?	昨晚你出去了吗？
Where is the nearest station?	最近的车站在哪里？
I like both dogs and cats.	我喜欢狗和猫。
I don't like studying.	我不喜欢学习。
I don't like that guy.	我不喜欢那家伙。
Please turn off the TV.	请关闭电视机。
Someone's knocking at the door.	有人在敲门。
Can his story be true?	他的故事可能是真的吗?
This is the house I lived in when I was young.	这是我年轻时候住的房子。
We're not late.	我们没迟到。
I want to learn how to swim.	我想学习如何游泳。
They got to the hotel after dark.	天暗后他们到了酒店。
The child followed me to the park.	这孩子跟着我去公园。
The boy got in through the window.	这个男孩从窗户进去了。
Smoking affects your health.	吸烟有害健康。
I don't like drinking.	我不喜欢喝酒。
We are good friends.	我们是好朋友。
The tree had been blown down by the typhoon of the day before.	昨天的台风把树刮倒了。
I'll visit him tomorrow.	明天我将拜访他。
She went to the museum by cab.	她搭出租车到博物馆。
She looks young.	她看起来很年轻。
He is beginning to lose his hair.	他开始掉头发了。
I'll personally visit you.	我会亲自拜访您。
The people here are used to the cold.	这里的人习惯了寒冷。
I'd like to try on this dress.	我想试穿这件衣服。
You look as healthy as ever.	你看起来健康如昔。
You've set a bad example.	你做了个坏榜样。
Tom can't tie a tie.	汤姆不会系领带。
I have been here for many years.	我在这里已经很多年了。
I used to play alone when I was a child.	我小时候常常独自玩耍。
We went swimming in the river.	我们去河里游泳。
That's something to be proud of.	那是值得自豪的事。
They reported seeing the incident.	他们报告目击了事故。
Do you have a fever?	你发烧了吗？
Shut the door.	关门。
Please get me a scrap of paper.	请给我一张废纸。
She's really smart, isn't she?	她真的很聪明，不是吗？
I found him working in the garden.	我发现他在花园里干活。
All good things must come to an end.	天下无不散之筵席。
I heard someone calling my name.	我听见有人叫我的名字。
It's been an amazing experience.	这是奇妙的体验。
Once he had written the letter, he sent it.	信一写好，他就把它寄了。
I really enjoyed myself tonight.	今晚我玩得很开心。
She has a rose in her hand.	她手里拿着一朵玫瑰。
Tom isn't unhappy.	汤姆不是不高兴。
My office is on the fifth floor.	我的办公室在五楼。
What do you think of this plan?	你觉得这个计划如何?
They adopted the little girl.	他们收养了那个小女孩。
Dinner will be ready by six-thirty.	晚餐将在六点半前开饭。
English is spoken in Singapore.	在新加坡的人说英语。
Reading a book can be compared to a journey.	阅读一本书可以比作一次旅行。
I don't want to play cards.	我不想玩纸牌。
If you stay at a big hotel, you can use their swimming pool.	若你住到的是大的旅馆，就能使用他们的游泳池。
Take the oranges out of the fridge.	把橙子从冰箱里拿出来。
Champagne, please.	给我香槟，谢谢。
It is important for old people to stay strong.	老人保持强健很重要。
I've never seen you so happy.	我从没见过你这么高兴。
I slept a little during lunch break because I was so tired.	我在午休时间睡了一会儿，因为我太累了。
Your bicycle is better than mine.	你的脚踏车比我的好。
This book of his isn't interesting at all.	他的这本书一点意思也没有。
Where are you from in Canada?	你来自加拿大的哪里?
Have you worked the puzzle out?	你解开谜团了吗？
I'm interested in history.	我对历史有兴趣。
The girl resembled her mother.	这个女孩很像她的母亲。
The living room adjoins the dining room.	客厅紧邻着餐厅。
Could you carry my bags for me?	你可以帮我提我的袋子吗?
I'll ask him if he's busy or not.	我问他忙不忙。
Tom, we have to talk.	汤姆，我们必须谈谈。
We have to find out what Tom wants.	我们要明白汤姆想要什么。
I hope you'll get well soon.	我希望你很快就会好。
I canceled my hotel reservation.	我取消了我旅馆的预订。
It was amazingly easy.	这出乎意料地容易。
This is typical.	这是典型的。
We kept them quiet.	我们让他们保持安静。
I don't love you anymore.	我不再爱你了。
President Lincoln accepted the invitation.	林肯总统接受了邀请。
I bought a camera the other day.	我前几天买了一台照相机。
She bought two pounds of butter.	她买了两磅的奶油。
That won't change anything.	这样做的话什么都不会改变的。
I've known her for a long time.	我已经认识她很久了。
Do you have kids?	你们有小孩吗?
He is old enough to know better.	他已经长大该懂事了。
Where does it leave from?	它从哪里离开的？
Tom drank his orange juice.	Tom喝了他的柳橙汁。
I'd like to change yen to dollars.	我想把日元换成美元。
I've got blisters on my feet.	我的脚起水泡了。
My friends invited me to supper.	我朋友邀我共赴晚餐。
Can you freeze it?	你能冷冻它吗？
It's none of your business.	这不关你的事。
Everything comes to those who wait.	成功属于耐心等待的人。
There was a light rain yesterday.	昨天下小雨。
I have never heard her sing.	我从来没有听过她唱歌。
Summer vacation begins next Monday.	暑假从下星期一开始。
You should be ashamed of your stupidity.	你应该为你的愚蠢感到羞耻。
The lake is deepest at this spot.	这里是湖最深的地方。
What does he say in his letter?	他在信上说什么？
Your prophecy has come true.	你的预言成真了。
I wish I didn't have to work.	我希望我不必工作。
What is the difference between this and that?	“这”和“那”有什么区别？
I bought a pen, but I lost it.	我买了一支钢笔，但我把它丢了。
I am fully convinced of your innocence.	我完全相信你是清白的。
Don't be afraid to make a mistake.	别害怕犯错。
I just knew you would say that.	我就知道你会这么说。
My uncle gave me a book.	我的叔叔给了我一本书。
Tom wants a computer small enough to easily carry.	汤姆想要个小得易于携带的电脑。
Please be careful when crossing the street.	过马路时请小心。
He has been in Hokkaido before.	他以前曾在北海道。
He's a tennis player.	他是个网球球手。
I will lend you this dictionary.	我会借给你这本字典。
Can you get it repaired?	你能不能修理它？
Not even one taxi stopped.	甚至没有一辆出租车停下来。
She always buys expensive clothes.	她总是买昂贵的衣服。
War must be avoided at all costs.	战争必须不惜一切代价地去避免。
She's busy now and can't talk with you.	她现在忙，没有办法跟你们说话。
I was kicked out of high school.	我被高中退学了。
Show me an example.	给我个例子。
I have a cough.	我咳嗽。
I got a hole in my jeans.	我的牛仔裤破了一个洞。
Do you have any cough medicine?	你有止咳药吗？
They skip school all the time.	他们总是逃学。
It's not a cat. It's a dog.	它不是猫。它是狗。
I used to swim in this river.	我以前在这条河里游泳。
This old book is worth 50,000 yen.	这本旧书值5万日元。
Tom looked pretty healthy last night.	汤姆昨晚看来很健康。
I interpreted her silence as a refusal.	我认为她的沉默就是表示拒绝。
He disappeared without a trace.	他没有留下痕迹就消失了。
Tom hasn't talked to Mary about that yet.	汤姆还没跟玛丽谈那事。
He said that he gets up at 6 o'clock every day.	他说他每天早上六点起床。
The problem is that solar energy costs too much.	问题是, 太阳能太贵了。
Tom is interested in mathematics.	汤姆是对数学感兴趣。
He took care of the business after his father's death.	在他父亲死后，他接管了公司。
She is looking for her missing wallet.	她正在找她不见了的皮夹。
We depend on you.	我们可全指望你了。
I noticed a note on my desk, but I do not know who wrote it.	我发现了我办公桌上有张字条, 但是我不知道是谁写的。
School was closed for the day due to the snow.	学校因大雪停课一天。
This is a well-written article.	这是篇写得很好的文章。
I've already been working here for several hours.	我已经在这里工作几个小时了。
He has been to Europe many times.	他去过欧洲很多次了。
Can't you discount it a little?	你不能打一点折吗？
You shouldn't associate with men like that.	你不应该把我和那样的人联系在一起。
The medicine made me very sleepy.	这个药让我很想睡觉。
I received a letter three months later.	我在三个月后收到了一封信。
India gained independence from Britain in 1947.	印度于1947年脱离英国获得独立。
I'm the one who wants to be with you.	我才是那个想和你在一起的人！
Good evening.	晚上好。
The chicken is undercooked.	鸡肉还不够熟。
Here we are!	我们到了！
She has never been to Hokkaido.	她从未去过北海道。
Tom doesn't know if Mary is happy or not.	汤姆不知道玛丽是高兴呢，还是不高兴。
I don't see any bullet holes.	我没看见什么弹孔。
We sell orange juice.	我们卖柳橙汁。
Learning foreign languages is boring.	学外文很无聊。
Thank you for agreeing to meet with us.	谢谢你答应来见我。
He doesn't have to go to school.	他不必上学。
The red dress suited her.	这件红色的洋装适合她。
It's four o'clock by my watch.	我表上是4点。
She gave me some good advice.	她给了我一些很好的建议。
Banks charge higher interest on loans to risky customers.	银行对风险客户收取较高的贷款利息。
I'll be gone for a while.	我要暂时离开。
Tom broke the window.	汤姆打破了窗户。
I made an abstract of a book.	我为一本书写了内容提要。
Do you know when they will arrive?	你知道他们什么时候到吗？
I think you should see a doctor.	我觉得你应该去看医生。
We had a good time playing chess.	我们下棋玩得很开心。
I don't like these remarks.	我不喜欢这番话。
Strawberries sell for a high price in the winter.	草莓在冬天售价高。
If you hurry you can still make the train.	如果你抓紧，你还能赶上火车。
Would you please give me some more tea?	你能再给我点茶吗？
The students are all at their desks now.	学生们现在都坐在桌前。
She's leaving the country in six months.	她半年后就要出国了。
She didn't want to get involved.	她不想涉入其中。
Many students like to study in the morning.	许多学生喜欢在早上学习。
She looked after the children.	她照顾孩子们。
It's a waste of time.	这是浪费时间。
He got his wife to mend his shirt.	他让他的妻子补好衬衫。
I want you to read this letter.	我想你读一下这封信。
Tom should've known better.	汤姆应该更清楚。
One language is never enough.	一种语言是永远不够的。
Why did you buy such an expensive dictionary?	为什么你买了一本那么贵的词典？
I want something sweet.	我要一些甜的东西。
Did somebody hit Tom?	有人打汤姆了吗？
I don't want to get a suntan.	我不想晒黑。
Where did you guys go?	你们这些家伙去哪儿了？
His son's criminal activities caused him great pain.	他儿子的犯罪行为给他带来了很大的痛苦。
I wish I could figure out how to delete my Facebook account.	我希望我能知道如何删除我的Facebook账号。
I was shocked by yesterday's news.	昨天的消息让我感到震惊。
It's warm in here.	这里是温暖的。
There's a telephone in my room.	我的房里有部电话。
Do you drink beer?	你喝啤酒吗？
I like to go fishing with my father.	我喜欢和父亲一起去钓鱼。
I heard her singing a song.	我听到她唱歌。
What he said would happen has happened.	他说会发生的事情已经发生了。
The boy took the radio apart.	这个男孩把收音机折散架了。
She has an agreeable voice.	她的声音令人愉快。
I hope I'm not boring you.	希望我没有烦到你。
It goes without saying that health is important.	不用说，健康是重要的。
I asked Tom to close the door.	我要求汤姆关门。
Everyone should bring their own lunch.	每个人都应该带自己的午餐。
We promised to stand by him in case of trouble.	我们承诺万一他有麻烦的时候支持他。
I enjoyed talking with him at the party.	在派对中我和他聊得很开心。
The principal wants to talk to you.	校长想跟你谈话。
We often talk about the weather.	我们经常讨论天气。
He was the strongest candidate for the position.	他是那个职位最有希望的候选人。
These days it snows quite a lot.	这些天下了好多雪。
You certainly play the piano well.	你一定钢琴弹得很好。
He was wounded in the shoulder.	他伤了肩膀。
I went camping with my family.	我和家人去露营。
He's always running short of cash.	他的现金总是不够用。
She drew a circle on a piece of paper with a pencil.	她用铅笔在纸上画了一个圈。
He spent the morning reading a book.	他整个上午都在看书。
I study Chinese every day.	我每天读中文。
Don't lean against the wall.	别倚着墙。
Where am I?	这是什么地方?
You'd better consult the doctor.	你最好请教一下医生。
They built a bridge across the river.	他们建了一座横跨河流的桥。
I don't have the address with me.	我身上没带这个地址。
What illness do I have?	我得了什么病？
This is just between you and me.	这只是我们之间的秘密。
Please keep it secret.	请保守秘密。
Do you have any idea when the bank closes?	你知道银行什么时候关门吗？
What's the idea behind that?	那背后是什么意思？
She borrowed a saw from the farmer.	她向农夫借了一把锯子。
You don't have a fever.	你没发烧。
Keep reading.	继续看。
I'd like to rent a car.	我想租一辆车。
Let me know the result as soon as you can.	尽早让我知道结果。
I gave Mary a book.	我给了玛丽一本书。
When was it finished?	是什么时候完成的？
Tom wanted to be a better teacher.	汤姆想做个更好的教师。
I heard it on the radio.	我从广播中听到它。
It is raining.	下雨了。
Would you mind lending me your pen?	你介意把你的笔借给我吗?
We succeeded.	我们成功了。
She is two years older than you.	她比你大两岁。
They're both artists.	他们都是艺术家。
The next one's for you.	下一个给你。
We have some decisions to make.	我们要做些决定。
I'm looking for a place to sit.	我正在找个地方坐下。
We raced toward the fire.	我们急忙跑向火。
He came to my house on the pretext of seeing me.	他打着见我的幌子来了我家。
He ignored his father's advice.	他不顾他父亲的忠告。
Stop resisting!	停止抵抗！
This room has two closets for clothing.	这房间有两个衣橱。
We didn't know which bus to take.	我们不知道要搭哪一班公交车。
It's lunch time.	午餐时间到了。
I have been to Rome.	我去过罗马。
He was an intelligent and practical man.	他是聪明能干的人。
A foreign language cannot be mastered in a year or so.	一个外国语言无法在一年左右就被掌握。
Don't talk in the reading room.	阅览室里禁止说话。
Let's go out and have some fun tonight.	我们今晚一起出去找乐子吧。
Beginners should learn spoken English first.	初学者应先学习口说英语。
He has been teaching for 20 years.	他已经教了20年。
They dropped out of school.	他们辍学了。
His father doesn't play golf.	他父亲不打高尔夫球。
Tom often takes pictures with his phone.	汤姆经常用手机拍照。
If you want to go, then go. If you don't want to, then it's no big deal.	如果你想去，就去好了。如果你不想去，那也没什么大不了的。
He left his daughter a great fortune.	他留给他女儿一大笔财产。
I am positive that he has finished.	我确信他已经完成了。
It rained hard last night.	昨晚雨下得很大。
Let's start the party.	让我们开始这个派对吧。
This hotel does not serve lunch.	这家旅馆不提供午餐。
Who is that girl waving to you?	那个向你招手的女孩是谁？
You may take this.	您可以拿着这个.
I'd like a room with a good view.	我喜欢视野好的房子。
Well, the night is quite long, isn't it?	夜晚很长，不是吗？
Whose ring is that?	那是谁的环？
Can we roller-skate in this park?	我们可以在这个公园里玩四轮溜冰吗?
Can I have something to eat?	我能些吃的东西吗？
We met in front of the school.	我们在学校前面见面了。
I have a few friends who speak French well.	我有一些法语说得好的朋友。
My right hand is numb.	我的右手麻了。
There is no admission fee for children under five.	五岁以下的小孩票价全面。
I got injured in the traffic accident.	我在这场交通意外中受了伤。
I asked him to open the window.	我请他把窗户打开。
Foreigners are interesting, aren't they?	外国人真有意思，不是吗？
To my surprise, he easily came up with a plan.	令我吃惊的是，他很容易就想出了一个方案。
A wise man would not say such a thing.	一个聪明人不会说这种话。
Go up the stairs.	上楼。
I am short.	我个头矮。
I never spoke to him after that.	之后我再也没跟他说过话。
I want a few empty glasses.	我要一些空的玻璃杯。
I found you, didn't I?	我找到你了，没有么？
It's more polite to say thin than skinny.	说苗条比说瘦更有礼貌。
It's really bad for your eyes.	它对你的眼睛有害。
We sometimes meet them.	我们有时会见到他们。
It's against the law to carry weapons.	携带武器是违法的。
He can read English easily.	他能轻松地读英语。
She accused me of being a liar.	她骂我是个骗子。
God created the heaven and the earth.	上帝创造了天地。
Tom told him.	汤姆告诉了他。
I'll stay at home tomorrow.	明天我会呆在家里。
When did she get married?	她什么时候结婚的？
You worry too much about your weight.	你太担心您的体重了。
Maybe you are working too hard.	可能你工作得太拼命？
I'm sick of eating fast food.	我受够吃快餐了。
He doesn't live there anymore.	他不再住在这里了。
How many pictures did you buy?	你买了多少张照片?
A hundred people were hurt in a train wreck.	一百多个人在一个火车事故中受了伤。
Without the sun, there would be no life.	没有太阳就没有生命。
"The phone is ringing." "I'll get it."	“电话响了。”“我去接。”
I couldn't speak Japanese.	我不会说日语。
Don't listen to her.	别听她的。
He raised his hands.	他举起了他的手。
He is able to play the guitar.	他会弹吉他。
He got into this school in September last year.	他去年九月进了这所学校。
Throw the ball back to me.	把球丢还给我。
He is studying law at Harvard.	他在哈佛大学学习法律。
That red dress looks good on her.	她穿那件红色的衣服很好看。
None of us thought he was to blame for the accident.	我们都不认为他是事故的罪魁祸首。
I want something to drink.	我想喝点什么。
Is that true?	真的？
The children were well looked after.	孩子们被照顾得很好。
I have to give back the book before Saturday.	我必须在礼拜六之前把书还回去。
Mt. Fuji can be seen from here.	从这里可以看到富士山。
Mary has nice legs.	玛丽有一双美腿。
I didn't have lunch today.	我今天没吃午餐。
This train leaves at nine o'clock.	这班火车九点钟发车。
We had a late lunch at two.	我们在两点钟很晚才吃午餐。
I'm a member of the swimming club.	我是游泳社的成员。
I like to travel alone.	我喜欢独自旅行。
You might want to discuss it with Tom.	你或许想和汤姆讨论一下。
He is an American.	他是美国人。
I didn't catch what he said.	我没听懂他说的话。
You'd better go to bed at once.	你最好立马去睡觉。
Her husband is an excellent cook.	她丈夫是个优秀的厨师。
I had a wonderful time.	我度过了美好的时光。
After walking for an hour, we stopped to take a rest.	走了一个小时后，我们停下来休息。
The time has come when I must tell you the truth.	现在是我必须告诉你真相的时候了。
It'll cost about 10,000 yen.	它将花费大约10,000日元。
They won.	他们赢了。
Why didn't you turn up on Saturday?	你为何周六没来？
No matter what I do, she says I can do better.	不论我做什么，她都说我能做得更好。
Would you ever consider dating your best friend's ex-boyfriend?	你有没有想过跟朋友的前男友约会？
The boy can count to ten.	这小男孩能数到十。
His behavior is worthy of respect.	他的行为值得尊重。
Do you know how the accident happened?	你知道这个意外是如何发生的吗？
She did not visit me on Sunday but on Monday.	她没有在星期天来找我，而是星期一。
I'm 17, too.	我也是17岁。
Is there someone that can drive?	有人会开车吗？
Which is heavier, lead or gold?	哪个比较重，铅还是黄金？
I love music.	我爱音乐。
I know where she is.	我知道她在哪里。
He studied hard in order to get into college.	他努力学习，为的是能够考上大学。
There is a big supermarket in my neighborhood.	在我的邻近区域有一个大超市。
He sang while working.	他一边唱歌一边工作。
I'll still have a scar from that accident.	我还留着那起事故的伤疤。
I have been to India.	我到过印度。
Radio's been replaced by the TV.	电视代替了收音机。
She kept me waiting for 30 minutes.	她让我等了半小时。
I'm a man.	我是个男人。
I saw Tom having an argument with Mary.	我见汤姆跟玛丽争论。
The fuel gauge is broken.	燃油表坏了。
It is clear what must be done.	显然地势必要做些什么。
She makes herself up every morning.	她每天早上自己起床。
Soccer is my favorite sport.	足球是我最喜欢的运动。
Pace yourself.	量力而行。
She was in trouble because she lost her passport.	她遇到了麻烦，因为她弄丢了她的护照。
We are traveling on a tight budget.	我们用少的预算旅行。
Keep listening.	继续听。
Something must be done!	必须采取一些行动了！
The snow was knee deep.	积雪深及膝盖。
She always looked happy, but never was.	她总是看起来很快乐，但实际上从来不快乐。
Food should be chewed before being swallowed.	食物在吞咽前要经过咀嚼。
Are these your things?	这些是你的东西吗？
She was so curious that she opened the box.	她太过好奇，以至于打开了盒子。
Our task has been easy so far, but it will be difficult from now on.	我们的任务到目前为止很轻松，但从现在开始将会变得很难。
He is proficient in Farsi.	他精通波斯语。
Carelessness can lead to a serious accident.	粗心大意可能导致严重的事故。
I got the information from him directly.	我直接从他那里得到讯息。
The boy is full of promise.	这个男孩很有前途。
Nothing ever makes him angry.	没有什么事曾让他愤怒。
Ask him his name.	问他一下他的名字。
What did you guys go see?	你们去看啥了？
He decided to quit smoking.	他决定戒烟了。
The train is 10 minutes late today.	火车今天晚了十分钟。
I really enjoy your company.	我非常享受你的陪伴。
Tom did a lot of great things.	汤姆做了许多大事。
It didn't cross my mind.	这不是我的想法。
Write your address here.	在这里写下你的地址。
The movie theater was filled with people.	这家电影院挤满了人。
I'm just looking.	我只是随便看看。
The girl resembles her mother.	这个女孩酷似她的母亲。
